home_team,away_team,home_score,away_score,tournament,country,day,month,year,home_result,away_result,total_goals,serial,home_group,away_group,home_team_txt,away_team_txt,year_n,result,home_random,away_random,decade,home_result_desc,away_result_desc
Poland,Mexico,1,1,Friendly,Poland,2,9,2011,0,0,2,3455,0,1,Poland,Mexico,1,0,0.66011,0.58241,12,draw,draw
United States,Costa Rica,0,1,Friendly,United States,2,9,2011,-1,1,1,3456,0,1,United_States,Costa_Rica,1,1,0.30127,0.94487,12,loser,winner
Brazil,Ghana,1,0,Friendly,England,5,9,2011,1,-1,1,3457,0,0,Brazil,Ghana,1,1,0.76134,0.84471,12,winner,loser
Belgium,United States,1,0,Friendly,Belgium,6,9,2011,1,-1,1,3458,1,0,Belgium,United_States,1,1,0.67099,0.2902,12,winner,loser
Ecuador,Costa Rica,4,0,Friendly,Ecuador,6,9,2011,4,-4,4,3459,0,1,Ecuador,Costa_Rica,1,4,0.99319,0.62975,12,winner,loser
England,Wales,1,0,UEFA Euro qualification,England,6,9,2011,1,-1,1,3460,1,0,England,Wales,1,1,0.62504,0.34474,12,winner,loser
Poland,Germany,2,2,Friendly,Poland,6,9,2011,0,0,4,3461,0,1,Poland,Germany,1,0,0.45293,0.05949,12,draw,draw
Qatar,Iran,1,1,FIFA World Cup qualification,Qatar,6,9,2011,0,0,2,3462,0,1,Qatar,Iran,1,0,0.20281,0.40799,12,draw,draw
Saudi Arabia,Australia,1,3,FIFA World Cup qualification,Saudi Arabia,6,9,2011,-2,2,4,3463,1,0,Saudi_Arabia,Australia,1,2,0.88573,0.80835,12,loser,winner
Argentina,Brazil,0,0,Superclásico de las Américas,Argentina,14,9,2011,0,0,0,3464,1,0,Argentina,Brazil,1,0,0.98837,0.4644,12,draw,draw
Brazil,Argentina,2,0,Superclásico de las Américas,Brazil,28,9,2011,2,-2,2,3465,0,1,Brazil,Argentina,1,2,0.4945,0.17409,12,winner,loser
Costa Rica,Brazil,0,1,Friendly,Costa Rica,7,10,2011,-1,1,1,3466,1,0,Costa_Rica,Brazil,1,1,0.93777,0.40887,12,loser,winner
South Korea,Poland,2,2,Friendly,South Korea,7,10,2011,0,0,4,3467,0,0,South_Korea,Poland,1,0,0.61915,0.19252,12,draw,draw
Wales,Switzerland,2,0,UEFA Euro qualification,Wales,7,10,2011,2,-2,2,3468,0,0,Wales,Switzerland,1,2,0.55427,6.10E-04,12,winner,loser
Denmark,Portugal,2,1,UEFA Euro qualification,Denmark,11,10,2011,1,-1,3,3469,1,1,Denmark,Portugal,1,1,0.97788,0.93862,12,winner,loser
Germany,Belgium,3,1,UEFA Euro qualification,Germany,11,10,2011,2,-2,4,3470,1,1,Germany,Belgium,1,2,0.48575,0.94251,12,winner,loser
Mexico,Brazil,1,2,Friendly,Mexico,11,10,2011,-1,1,3,3471,1,0,Mexico,Brazil,1,1,0.55806,0.24641,12,loser,winner
United States,Ecuador,0,1,Friendly,United States,11,10,2011,-1,1,1,3472,0,0,United_States,Ecuador,1,1,0.20944,0.42001,12,loser,winner
France,United States,1,0,Friendly,France,11,11,2011,1,-1,1,3473,0,0,France,United_States,1,1,0.84784,0.50174,12,winner,loser
Mexico,Serbia,2,0,Friendly,Mexico,11,11,2011,2,-2,2,3474,1,1,Mexico,Serbia,1,2,0.69901,0.97277,12,winner,loser
Netherlands,Switzerland,0,0,Friendly,Netherlands,11,11,2011,0,0,0,3475,1,0,Netherlands,Switzerland,1,0,0.45413,0.01404,12,draw,draw
England,Spain,1,0,Friendly,England,12,11,2011,1,-1,1,3476,1,1,England,Spain,1,1,0.26859,0.20792,12,winner,loser
Morocco,Cameroon,1,1,Friendly,Morocco,13,11,2011,0,0,2,3477,0,1,Morocco,Cameroon,1,0,0.18902,0.53696,12,draw,draw
Costa Rica,Spain,2,2,Friendly,Costa Rica,15,11,2011,0,0,4,3478,1,1,Costa_Rica,Spain,1,0,0.93231,0.92198,12,draw,draw
France,Belgium,0,0,Friendly,France,15,11,2011,0,0,0,3479,0,1,France,Belgium,1,0,0.19418,0.65366,12,draw,draw
Germany,Netherlands,3,0,Friendly,Germany,15,11,2011,3,-3,3,3480,1,1,Germany,Netherlands,1,3,0.17283,0.40139,12,winner,loser
Morocco,Tunisia,1,2,African Cup of Nations,Gabon,23,1,2012,-1,1,3,3481,0,1,Morocco,Tunisia,2,1,0.33404,0.84401,12,loser,winner
Ghana,Tunisia,2,1,African Cup of Nations,Gabon,5,2,2012,1,-1,3,3482,0,1,Ghana,Tunisia,2,1,0.61566,0.48,12,winner,loser
Australia,Saudi Arabia,4,2,FIFA World Cup qualification,Australia,29,2,2012,2,-2,6,3483,0,1,Australia,Saudi_Arabia,2,2,0.71497,0.58725,12,winner,loser
England,Netherlands,2,3,Friendly,England,29,2,2012,-1,1,5,3484,1,1,England,Netherlands,2,1,0.9011,0.90148,12,loser,winner
