team_a,team_b,team_a_ar,team_b_ar,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
France,Spain,فرنسا,إسبانيا,7,16,13,36,36,44,19,France,Spain
Germany,Spain,ألمانيا,إسبانيا,8,8,9,25,36,32,32,Germany,Spain
Iran,Spain,إيران,إسبانيا,0,1,0,1,0,100,0,Iran,Spain
Japan,Spain,اليابان,إسبانيا,0,1,0,1,0,100,0,Japan,Spain
Mexico,Spain,المكسيك,إسبانيا,3,3,0,6,0,50,50,Mexico,Spain
Morocco,Spain,المغرب,إسبانيا,1,2,0,3,0,67,33,Morocco,Spain
Netherlands,Spain,هولندا,إسبانيا,2,4,6,12,50,33,17,Netherlands,Spain
Poland,Spain,بولندا,إسبانيا,2,8,1,11,9,73,18,Poland,Spain
Portugal,Spain,البرتغال,إسبانيا,17,15,8,40,20,38,42,Portugal,Spain
Saudi Arabia,Spain,السعودية,إسبانيا,0,3,0,3,0,100,0,Saudi_Arabia,Spain
Serbia,Spain,صربيا,إسبانيا,3,3,0,6,0,50,50,Serbia,Spain
South Korea,Spain,كوريا الجنوبية,إسبانيا,2,4,0,6,0,67,33,South_Korea,Spain
Switzerland,Spain,سويسرا,إسبانيا,6,17,1,24,4,71,25,Switzerland,Spain
Tunisia,Spain,تونس,إسبانيا,0,2,0,2,0,100,0,Tunisia,Spain
United States,Spain,الولايات المتحدة ,إسبانيا,0,4,1,5,20,80,0,United_States,Spain
Uruguay,Spain,أوروغواي,إسبانيا,5,5,0,10,0,50,50,Uruguay,Spain
Wales,Spain,ويلز,إسبانيا,2,3,1,6,17,50,33,Wales,Spain
Argentina,Switzerland,الأرجنتين,سويسرا,2,0,5,7,71,0,29,Argentina,Switzerland
Australia,Switzerland,أستراليا,سويسرا,1,0,0,1,0,0,100,Australia,Switzerland
Belgium,Switzerland,بلجيكا,سويسرا,6,9,15,30,50,30,20,Belgium,Switzerland
Brazil,Switzerland,البرازيل,سويسرا,4,2,3,9,33,22,44,Brazil,Switzerland
Canada,Switzerland,كندا,سويسرا,0,0,1,1,100,0,0,Canada,Switzerland
Costa Rica,Switzerland,كوستا ريكا,سويسرا,1,1,1,3,33,33,33,Costa_Rica,Switzerland
Croatia,Switzerland,كرواتيا,سويسرا,2,2,3,7,43,29,29,Croatia,Switzerland
Denmark,Switzerland,الدنمارك,سويسرا,6,2,4,12,33,17,50,Denmark,Switzerland
